,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,food,life
0,Seoul,South Korea,7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,3.46,1.0,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,0.16,22.48,55.88,18.33,9.6,58.26,46.36,70.81,110.36,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,3.47,322.64209999999997,1330.9719666666667
1,Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,3.56,0.57,28.47,2.14,0.43,8.54,1.2,19929.68,20750.95,66.0,0.03,17.07,63.49,14.95,8.54,70.49,34.92,88.21,123.51,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,5.03,190.3732,1563.7492666666665
2,Guangzhou,China,4.13,28.47,4.98,0.85,1.71,3.54,0.44,0.33,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,11.39,0.95,2.26,3.7,0.36,28.47,1.71,0.37,6.26,1.19,21353.23,21381.7,59.65,0.02,16.66,34.17,18.98,8.54,63.43,33.83,66.73,43.89,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,5.19,138.965,998.0569333333333
3,Mumbai,India,3.68,18.42,3.68,2.46,4.3,2.48,0.48,0.19,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,4.3,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,0.01,9.33,25.37,11.39,4.3,32.77,27.75,49.87,41.17,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,7.96,75.74600000000001,989.7821733333334
4,Delhi,India,4.91,22.11,4.3,1.84,3.68,1.77,0.49,0.19,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,9.83,1.54,2.49,4.3,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,0.01,7.95,21.2,8.6,4.91,32.12,33.44,49.99,36.5,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06,72.7576,683.6393666666668
5,Dhaka,Bangladesh,1.95,11.71,4.88,5.85,5.12,1.95,0.29,0.16,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,5.36,2.4,6.3,3.12,0.41,18.53,0.98,0.39,2.93,1.1,39017.69,29006.57,37.06,0.01,21.9,17.24,14.17,4.88,21.51,24.91,50.87,41.53,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,9.26,79.9604,636.2792266666665
6,Osaka,Japan,7.45,48.39,5.36,3.35,3.72,3.28,1.09,0.81,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,7.45,2.54,2.48,4.28,1.8,88.81,4.95,2.98,29.53,1.24,22707.81,15765.18,128.77,0.21,32.15,65.2,33.43,13.84,45.81,26.61,66.79,132.61,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1.49,216.9231,1183.6481066666665
7,Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,22.69,2.17,3.24,2.27,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,0.13,31.57,30.89,11.78,3.24,39.51,25.16,72.38,79.85,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,9.05,119.22139999999999,948.9472466666667
8,Shenzhen,China,4.27,28.47,4.98,1.14,3.99,4.2,0.47,0.34,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,14.16,0.88,1.49,3.56,0.57,35.59,1.42,0.37,6.83,1.19,21936.88,20317.59,67.63,0.04,18.21,51.65,14.39,7.12,66.16,33.9,81.84,106.77,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,4.99,175.34109999999998,1210.6898866666668
9,Kinshasa,Congo,15.11,42.63,10.08,1.74,2.5,4.35,2.78,0.84,2.0,1.33,5.17,4.15,9.5,5.0,20.0,10.0,3.25,5.25,6.33,3.6,2.83,1.67,2.0,10.0,1.32,3.5,5.0,0.5,30.0,1.0,1.53,5.0,1.22,44341.6,24000.0,553.99,0.32,300.0,97.5,20.0,10.0,35.0,35.0,127.5,93.33,2000.0,725.0,4500.0,1160.0,6170.63,933.33,400.0,19.33,278.3075,2781.459166666667
10,Bangkok,Thailand,2.74,28.8,5.76,2.3,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,4.32,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,0.04,15.46,57.33,10.37,7.63,56.55,38.02,83.6,96.88,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,5.64,156.01459999999997,1115.1099466666665
11,Karachi,Pakistan,2.24,11.18,3.8,2.12,2.68,1.41,0.29,0.19,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.79,1.41,1.85,1.34,0.22,11.18,0.67,0.16,1.79,1.05,13857.85,18980.66,66.56,0.01,20.72,16.52,6.05,4.47,14.55,24.19,32.04,27.61,113.5,76.65,268.71,170.09,760.64,412.03,166.86,14.9,65.0677,505.56778
12,Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,2.03,0.28,13.23,0.41,0.14,1.02,0.4,21061.16,21147.47,26.53,0.01,16.37,23.44,8.49,4.48,39.37,37.51,89.61,48.65,196.83,117.45,400.03,233.92,549.42,380.62,200.4,10.87,70.4232,494.96476
13,Sao Paulo,Brazil,7.66,38.32,6.71,2.3,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,2.3,0.84,45.98,1.05,0.77,9.58,1.26,21458.41,27234.36,69.27,0.29,21.55,25.04,32.46,8.62,58.83,49.57,83.76,65.93,567.7,341.37,990.82,687.44,2542.37,1666.86,445.67,9.4,135.5866,1120.4757133333335
14,Mexico City,Mexico,7.74,39.97,6.7,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,11.35,1.42,2.55,3.61,0.31,15.69,1.03,0.52,6.19,1.2,19596.21,19925.13,48.85,0.1,26.67,45.15,20.37,4.64,50.84,34.61,84.28,86.26,766.53,481.56,1480.77,850.84,2769.15,1695.8,718.92,10.57,156.5178,1221.9443733333335
15,Lagos,Nigeria,3.71,45.03,6.75,1.13,1.8,3.4,0.4,0.26,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,1.13,0.9,33.77,1.29,2.25,4.5,0.39,18911.68,33770.85,28.27,0.04,52.83,40.01,9.63,7.88,20.05,26.88,68.4,68.08,1406.6,714.57,4929.84,2251.39,746.59,301.12,214.64,17.5,172.7191,1855.7667999999999
